	DTHY	h
identificar	CHwS	1
identificarse	CHuZ	5
identificarse con	CHtN	BM
ideología	CHx6	BS
ideológica	CHzM	Bl
ideológico	CHzM	Bl
ideóloga	CHxH	z
ideólogo	CH0x	y
idioma	CH2g	u
idioma	CH3O	p
idiota	CH33	7
idiota	CH4y	BX
idiota	CH6J	n
idiotez	CH6w	BG
idolatrar	CH72	t
idéntica	CHoy	BB
idéntico	CHoy	BB
idílica	CH1j	9
idílico	CH1j	9
iglesia	CH+b	q
ignorancia	CH/7	6
ignorancia	CH/F	2
ignorante	CIA1	r
ignorante	CIBg	s
ignorar	CIC0	0
ignorar	CICM	o
ignorar	CIDo	9
igual	CIEl	c
igual	CIFB	e
igualada	CIFf	BN
igualado	CIFf	BN
igualar	CIGs	n
igualar	CIH7	z
igualar	CIHT	o
igualar	CIIu	9
igualdad	CIMb	BT
igualdad ante la ley	CIJr	Bg
igualdad de votos	CILL	BQ
igualmente	CINu	y
igualmente	CIOg	8
iguana	CIPc	o
ilegal	CIQE	2
ilegalidad	CIQ6	7
ilegible	CIR1	r
ilegítima	CISg	BQ
ilegítima	CITw	BM
ilegítimo	CISg	BQ
ilegítimo	CITw	BM
ilimitada	CIWI	BJ
ilimitada	CIXR	Bc
ilimitado	CIWI	BJ
ilimitado	CIXR	Bc
iluminación	CIZi	BK
iluminación	CIas	8
iluminada	CIbo	BI
iluminada	CIcw	BI
iluminado	CIbo	BI
iluminado	CIcw	BI
iluminar	CId4	o
iluminar	CIeg	n
iluminar	CIfH	o
iluminar	CIfv	m
ilusionar	CIhh	p
ilusionarse	CIgV	BM
ilusión	CIi6	s
ilusión	CIiK	w
ilusión	CIjm	u
ilusión	CIkU	w
ilusión	CIlE	w
ilusoria	CIl0	BF
ilusorio	CIl0	BF
ilustración	CIm5	BT
ilustración	CIoM	BB
ilustrada	CIpN	Bb
ilustrado	CIpN	Bb
ilustrar	CIqo	7
ilustrar	CIrj	/
ilustrativa	CIsi	BT
ilustrativo	CIsi	BT
ilustre	CIt1	z
ilícita	CIU8	BM
ilícito	CIU8	BM
ilógica	CIYt	1
ilógico	CIYt	1
imagen	CIuo	q
imagen	CIv3	7
imagen	CIvS	l
imaginable	CIwy	v
imaginación	CIxh	B7
imaginar	CI3u	8
imaginaria	CIzc	Br
imaginario	CIzc	Br
imaginarse	CI13	x
imaginarse	CI1H	w
imaginarse	CI2o	BG
imaginativa	CI4q	BX
imaginativo	CI4q	BX
imbecilidad	CI7H	BT
imborrable	CI9H	BH
imbécil	CI6l	i
imbécil	CI8a	t
imitación	CI+O	BM
imitar	CI/a	0
impaciencia	CJAO	4
impacientar	CJCA	2
impacientarse	CJBG	6
impaciente	CJC2	v
impactante	CJDl	w
impactar	CJEV	q
impacto	CJE/	BW
impacto	CJG/	q
impacto	CJGV	q
impagable	CJHp	u
impar	CJMp	i
imparcial	CJIX	BA
imparcialidad	CJJX	Bi
impartir	CJK5	3
impartir	CJLw	5
impasible	CJNL	9
impecable	CJOI	+
impecable	CJPG	Bd
impecable	CJQj	q
impedancia	CJRN	1
impedida	CJSC	BF
impedido	CJSC	BF
impedimento	CJTH	6
impedimento	CJU3	4
impedimento	CJUB	2
impedimento	CJVv	7
impedir	CJWq	0
impedir	CJXe	n
impeque	CJPG	Bd
imperador	CJYF	y
imperar	CJY3	m
imperativa	CJZd	BM
imperativo	CJZd	BM
imperativo	CJap	BP
imperdible	CJb4	+
imperdonable	CJc2	3
imperfección	CJdt	BD
imperfección	CJew	BC
imperfecta	CJfy	BM
imperfecta	CJg+	BO
imperfecto	CJfy	BM
imperfecto	CJg+	BO
imperfecto	CJiM	1
imperial	CJjB	4
imperialismo	CJj5	9
imperialista	CJk2	BZ
imperio	CJmP	/
impermeabilizar	CJnO	BA
impermeable	CJoO	2
impermeable	CJpE	6
impersonal	CJp+	x
impertinencia	CJqv	Bd
impertinente	CJsM	1
impetuosa	CJv9	BC
impetuosa	CJw/	BL
impetuosidad	CJuA	BB
impetuosidad	CJvB	8
impetuoso	CJv9	BC
impetuoso	CJw/	BL
implacable	CJyK	w
implantar	CJy6	6
implantar	CJz0	4
implementar	CJ0s	BB
implicar	CJ1t	/
implicar	CJ2s	/
implorar	CJ5B	0
implícita	CJ3r	BW
implícito	CJ3r	BW
imponente	CJ51	+
imponer	CJ6z	m
imponer	CJ7/	n
imponer	CJ7Z	m
importación	CJ8m	BL
importador	CJ/A	3
importador	CJ9x	BP
importadora	CJ9x	BP
importancia	CJ/3	BR
importante	CKBI	7
importar	CKC+	BE
importar	CKCD	7
importe	CKEC	BC
importunidad	CKFE	BA
imposibilidad	CKGE	BD
imposibilitar	CKHH	Ba
imposible	CKIh	m
imposición	CKJH	BN
imposición	CKKU	5
imposición	CKLN	3
impostor	CKME	BK
impotencia	CKNO	6
impotencia	CKO9	5
impotencia	CKOI	1
impotente	CKP2	q
impotente	CKQg	5
impotente	CKRZ	q
imprecisa	CKTA	BH
imprecisión	CKSD	9
impreciso	CKTA	BH
impredecible	CKUH	5
impregnar	CKVA	s
impregnar	CKVs	u
impregnar	CKWa	v
imprenta	CKX5	s
imprenta	CKXJ	w
impresa	CKlP	6
impresa	CKmJ	BM
imprescindible	CKYl	Bg
imprescindible	CKaF	BP
impresentable	CKbU	7
impresionable	CKcP	4
impresionante	CKdH	3
impresionar	CKd+	x
impresionar	CKev	v
impresionismo	CKh0	BB
impresionista	CKi1	7
impresionista	CKjw	Bf
impresión	CKfe	z
impresión	CKgR	w
impresión	CKhB	z
impreso	CKlP	6
impreso	CKmJ	BM
impreso	CKnV	s
impreso	CKoB	s
impresor	CKpf	w
impresora	CKot	y
imprevisible	CKqP	4
imprevisión	CKrH	BC
imprevista	CKsJ	BT
imprevisto	CKsJ	BT
imprimir	CKt+	2
imprimir	CKtc	i
imprimir	CKu0	6
improbabilidad	CKvu	BN
improbable	CKw7	2
improductiva	CKxx	BZ
improductivo	CKxx	BZ
impronunciable	CKzK	BS
impropia	CK0c	BV
impropia	CK1x	BQ
impropio	CK0c	BV
impropio	CK1x	BQ
improvisación	CK3B	BE
improvisada	CK4F	BW
improvisado	CK4F	BW
improvisar	CK5b	x
improvista	CK6M	BT
improvisto	CK6M	BT
imprudencia	CK7f	Be
imprudente	CK89	BE
impuesta	CK+B	9
impuesto	CK++	BA
impuesto	CK+B	9
impuesto	CK/+	r
impulsar	CLAp	BA
impulsar	CLBp	1
impulso	CLCe	7
impulso	CLDZ	p
impulso	CLEC	q
impulso	CLEs	o
impuntual	CLFU	n
impura	CLHl	0
impureza	CLF7	z
impureza	CLGu	3
impuro	CLHl	0
imán	CI6B	k
inaccesible	CLIZ	0
inaceptable	CLJN	1
inactiva	CLL4	BB
inactiva	CLM5	BC
inactividad	CLK7	9
inactividad	CLKC	5
inactivo	CLL4	BB
inactivo	CLM5	BC
inadecuada	CLN7	Bj
inadecuada	CLPe	BO
inadecuado	CLN7	Bj
inadecuado	CLPe	BO
inadmisible	CLQs	x
inadvertida	CLRd	BY
inadvertida	CLS1	BV
inadvertido	CLRd	BY
inadvertido	CLS1	BV
inagotable	CLUK	0
inaguantable	CLU+	BJ
inalcanzable	CLXX	1
inalámbrica	CLWH	BQ
inalámbrico	CLWH	BQ
inapetencia	CLYM	4
inapetente	CLZE	u
inapetente	CLZy	3
inapropiada	CLap	BR
inapropiado	CLap	BR
inarmónica	CLb6	BQ
inarmónico	CLb6	BQ
inasequible	CLdK	x
inasistencia	CLd7	BB
inaudible	CLe8	t
inauguración	CLfp	BA
inaugurar	CLgp	s
inca	CLiM	h
incaica	CLhV	3
incaico	CLhV	3
incansable	CLit	w
incapacidad	CLjd	9
incapacidad	CLka	/
incapacitada	CLlZ	Bf
incapacitada	CLm4	BZ
incapacitado	CLlZ	Bf
incapacitado	CLm4	BZ
incapaz	CLoR	m
incendiar	CLpy	BB
incendiario	CLo3	7
incendio	CLqz	s
incertidumbre	CLrf	BB
incesante	CLsg	t
incesante	CLtN	v
incesto	CLt8	q
incesto	CLum	r
incestuosa	CLvR	BM
incestuoso	CLvR	BM
incidencia	CLwd	5
incidencia	CLxW	BQ
incidencia	CLym	4
incidente	CLze	BN
incienso	CL0r	w
incierta	CL1b	BP
incierto	CL1b	BP
incineración	CL2q	BE
incineración	CL3u	BA
incinerador	CL7c	BF
incineradora	CL6V	BH
incineradora de basuras	CL4u	Bn
incinerar	CL8h	t
incinerar	CL9O	s
incivilizada	CL96	Bh
incivilizado	CL96	Bh
inclemencia	CL/b	/
inclemente	CMAa	v
inclinación	CMBJ	3
inclinación	CMCA	z
inclinación	CMCz	2
inclinada	CMDp	BF
inclinado	CMDp	BF
inclinar	CMFb	k
inclinarse	CMEu	t
incluida	CMG5	BZ
incluido	CMG5	BZ
incluir	CMI5	p
incluir	CMIS	n
inclusive	CMJi	BB
incluso	CMKj	g
incluyendo	CMLD	u
incoherencia	CMN7	BS
incoherente	CMP+	4
incoherente	CMPN	x
incolora	CMQ2	7
incoloro	CMQ2	7
incomible	CMRx	u
incomodar	CMSf	6
incomodidad	CMTZ	8
incomodidad	CMUV	BB
incomparable	CMYX	4
incompatibilidad	CMZP	Bu
incompatible	CMa9	BJ
incompetencia	CMcG	Bz
incompetente	CMd5	z
incompetente	CMes	BC
incompetente	CMfu	5
incompetente	CMgn	6
incompleta	CMhh	BO
incompleto	CMhh	BO
incomprensible	CMiv	BQ
incompresible	CMj/	5
incomunicada	CMk4	Bq
incomunicado	CMk4	Bq
incomunicar	CMmi	v
inconcebible	CMnR	BL
inconcreta	CMoc	BL
inconcreto	CMoc	BL
incondicional	CMpn	BJ
inconformista	CMqw	Bc
inconfundible	CMsM	5
inconmensurabilidad	CMtF	BY
inconmensurable	CMud	BA
inconsciencia	CMvd	BE
inconsciencia	CMwh	BB
inconsciente	CMxi	z
inconsciente	CMyV	1
inconsciente	CMz8	7
inconsciente	CMzK	y
inconsistencia	CM03	BB
inconsistente	CM14	2
inconsolable	CM2u	0
incontable	CM3i	u
incontable	CM4Q	u
incontinencia	CM4+	+
incontinente	CM58	z
incontrolable	CM6v	7
incontrolada	CM7q	Ba
incontrolado	CM7q	Ba
inconveniencia	CM+J	BD
inconveniencia	CM9E	BF
inconveniente	CM/+	0
inconveniente	CM/M	y
inconveniente	CNAy	z
inconveniente	CNBl	6
inconveniente	CNCf	8
inconveniente	CNDb	8
incorporación	CNEX	Ba
incorporación	CNFx	9
incorporación	CNGu	BC
incorporada	CNHw	BT
incorporada	CNJD	BU
incorporado	CNHw	BT
incorporado	CNJD	BU
incorporar	CNL1	s
incorporar	CNLI	t
incorporar	CNMh	v
incorporar	CNNQ	v
incorporarse	CNKX	x
incorrecta	CNN/	BK
incorrecta	CNPJ	BN
incorrecta	CNQW	BN
incorrecto	CNN/	BK
incorrecto	CNPJ	BN
incorrecto	CNQW	BN
incorregible	CNRj	5
incredibilidad	CNSc	BK
incredulidad	CNTm	BC
incrementar	CNXU	t
incrementar	CNYB	x
incrementar	CNYy	t
incremento	CNZf	2
incremento	CNaV	0
increíble	CNWl	v
incrustar	CNbJ	q
incrustar	CNbz	r
incrustar	CNce	r
incrédula	CNUo	BI
incrédulo	CNUo	BI
incrédulo	CNVw	1
incubadora	CNdJ	4
incubar	CNeB	n
inculcar	CNeo	5
inculpar	CNfh	q
inculta	CNgL	6
inculto	CNgL	6
incultura	CNhF	z
incumplimiento	CNh4	BD
incurable	CNi7	s
incurrir	CNjn	p
incursión	CNkQ	BK
incógnita	CMLx	BF
incógnita	CMM2	BF
incógnito	CMLx	BF
incógnito	CMM2	BF
incómoda	CMVW	/
incómoda	CMWV	BC
incómoda	CMXX	BA
incómodo	CMVW	/
incómodo	CMWV	BC
incómodo	CMXX	BA
indebida	CNla	BI
indebido	CNla	BI
indecencia	CNmi	+
indecente	CNng	v
indecisa	CNpO	BI
indecisión	CNoP	/
indeciso	CNpO	BI
indefensa	CNqW	BF
indefenso	CNqW	BF
indefinible	CNrb	BG
indefinida	CNsh	BM
indefinida	CNtt	BN
indefinido	CNsh	BM
indefinido	CNtt	BN
indemnización	CNu6	9
indemnización	CNv3	BE
indemnización	CNw7	BD
indemnización	CNx+	BE
indemnizar	CNzC	r
indemnizar	CNzt	w
independencia	CN0d	BC
independentista	CN1f	BA
independiente	CN2f	1
independizar	CN4Z	7
independizarse	CN3U	BF
indescifrable	CN5U	3
indescifrable	CN6L	6
indeseable	CN7F	w
indestructible	CN71	6
indeterminable	CN8v	7
indeterminación	CN+y	BK
indeterminación	CN9q	BI
indeterminada	CN/8	Be
indeterminada	COBa	Bg
indeterminado	CN/8	Be
indeterminado	COBa	Bg
india	COC6	l
india	COkO	y
india	COlA	v
indias occidentales	CODf	9
indicación	COEc	2
indicación	COFS	0
indicada	COGG	BD
indicada	COHJ	BC
indicado	COGG	BD
indicado	COHJ	BC
indicador	COIL	BH
indicador	COJS	0
indicar	COKG	k
indicar	COKq	k
indicar	COLO	k
indicar	COLy	l
indicar	COMX	i
indicativa	COM5	Bb
indicativo	COM5	Bb
indicativo	COOU	1
indicativo	COPJ	z
indicio	COQq	BC
indicio	CORs	BD
indiferencia	COSv	BD
indiferente	COTy	0
indiferente	COUm	z
indigencia	COXg	y
indigencia	COYS	7
indigente	COZN	1
indigesta	COcE	BX
indigesta	COdb	BI
indigestarse	COaC	BE
indigestión	CObG	+
indigesto	COcE	BX
indigesto	COdb	BI
indigna	COjT	7
indignación	COej	5
indignada	COfc	BH
indignado	COfc	BH
indignar	COis	n
indignarse	COh8	w
indignarse a	COgj	BZ
indigno	COjT	7
indio	COkO	y
indio	COlA	v
indio	COlv	k
indio	COmT	6
indirecta	COnN	0
indirecta	COoB	BG
indirecto	COoB	BG
indiscernible	COpH	3
indisciplinada	COp+	Bn
indisciplinado	COp+	Bn
indiscreción	COrl	+
indiscreta	COsj	BL
indiscreta	COtu	BO
indiscreto	COsj	BL
indiscreto	COtu	BO
indiscutible	COu8	BD
indisolubilidad	COv/	BJ
indisoluble	COxI	w
indispensabilidad	COx4	BQ
indispensable	COz/	3
indispensable	COzI	3
indisponer	CO02	s
indisposición	CO1i	/
indispuesta	CO2h	BK
indispuesto	CO2h	BK
indistinguible	CO3r	9
individual	CO4o	s
individual	CO5U	w
individual	CO91	5
individualidad	CO6E	BH
individualismo	CO7L	BG
individualista	CO8R	Bk
individuo	CO+u	1
individuo	CO/j	5
indocumentada	CPAc	Bg
indocumentado	CPAc	Bg
indolencia	CPDI	Be
indolente	CPEm	BC
indolora	CPFo	BE
indoloro	CPFo	BE
indomable	CPGs	u
inducción	CPId	0
inducir	CPJR	2
inducir	CPKH	n
inducir	CPKu	o
inductiva	CPLW	BG
inductivo	CPLW	BG
inductor	CPMc	x
inductor	CPNN	w
indudable	CPN9	w
indudable	CPOt	t
industria	CPPa	x
industrial	CPQL	v
industrialización	CPQ6	BR
industrializar	CPSL	/
indígena	COVZ	o
indígena	COWB	o
indígena	COWp	3
indómita	CPHa	BD
indómito	CPHa	BD
ineficacia	CPTK	3
ineficaz	CPUB	r
ineficaz	CPUs	p
ineficiencia	CPVV	/
ineficiente	CPWU	y
inequívoca	CPXG	BL
inequívoco	CPXG	BL
inercia	CPYR	u
inesperada	CPY/	BO
inesperado	CPY/	BO
inestabilidad	CPaN	BC
inestabilidad	CPbP	BF
inestable	CPc+	u
inestable	CPcU	q
inevitable	CPds	x
inexacta	CPfa	BB
inexactitud	CPed	9
inexacto	CPfa	BB
inexcusable	CPgb	1
inexistencia	CPhQ	BE
inexistente	CPiU	2
inexperta	CPjK	BK
inexperto	CPjK	BK
inexplicable	CPkU	2
inexplorada	CPlK	BV
inexplorado	CPlK	BV
inexpresable	CPmf	5
inexpresiva	CPnY	BW
inexpresivo	CPnY	BW
infalible	CPou	r
infame	CPpZ	1
infamia	CPqO	BO
infamia	CPrc	q
infancia	C7EO	BJ
infancia	CPsG	u
infanta	CPs0	t
infante	CPth	o
infantería	CPuJ	3
infantil	CPv2	1
infantil	CPvA	2
infantilismo	CPwr	8
infarto	CPxn	BD
infecciosa	CP14	BM
infeccioso	CP14	BM
infección	CP0q	BO
infección	CPyq	0
infección	CPze	BM
infectar	CP3E	4
infelicidad	CP38	5
infeliz	CP41	q
inferior	CP6j	BK
inferior	CP7t	BK
inferior	CP83	BR
inferiora	CP6j	BK
inferiora	CP7t	BK
inferiora	CP83	BR
inferioridad	CP5f	BE
inferir	CP+I	k
infernal	CP+s	4
infertilidad	CQAO	BC
infidelidad	CQBQ	4
infiel	CQCI	f
infierno	CQCn	s
infiltración	CQDT	BW
infiltración	CQEp	BA
infiltrada	CQFp	Be
infiltrado	CQFp	Be
infiltrar	CQHH	5
infiltrar	CQIA	t
infinidad	CQIt	3
infinidad	CQJk	x
infinita	CQLK	BB
infinita	CQML	/
infinitivo	CQKV	1
infinito	CQLK	BB
infinito	CQML	/
infinito	CQNK	x
inflación	CQN7	0
inflación	CQOv	0
inflamable	CQPj	+
inflamación	CQQh	6
inflamar	CQRb	o
inflamar	CQSD	o
inflar	CQT4	h
inflar	CQTW	i
inflar	CQUZ	h
inflarse	CQSr	r
infligir	CQU6	1
influencia	CQVv	1
influenciar	CQWk	x
influir	CQXV	o
influyente	CQX9	y
influyente	CQYv	y
información	CQZh	7
informada	CQac	BK
informada	CQbm	BG
informado	CQac	BK
informado	CQbm	BG
informal	CQcs	n
informal	CQd8	o
informal	CQdT	p
informalidad	CQek	BA
informalidad	CQfk	BC
informar	CQgm	3
informar	CQjK	BK
informar sobre	CQiQ	6
informarse	CQhd	z
informativa	CQni	BS
informativa	CQo0	BU
informativo	CQni	BS
informativo	CQo0	BU
informe	CQqI	r
informática	CQkU	5
informática teórica	CQlN	Ba
informático	CQmn	7
infraestructura	CQqz	BH
infrarroja	CQr6	BO
infrarrojo	CQr6	BO
infrecuente	CQtI	t
infructuosa	CQt1	BP
infructuoso	CQt1	BP
infusión	CQv0	BI
infusión	CQvE	w
infusión	CQw8	BW
infértil	CP/k	q
ingeniar	CQyS	3
ingeniera	CQzJ	2
ingeniero	CQ2V	0
ingeniería	CQ1Z	8
ingeniería del software	CQz/	Ba
ingenio	CQ3J	p
ingeniosa	CQ3y	r
ingeniosa	CQ4d	BK
ingeniosa	CQ5n	BY
ingeniosa	CQ6/	BI
ingenioso	CQ4d	BK
ingenioso	CQ5n	BY
ingenioso	CQ6/	BI
ingenua	CQ89	2
ingenuidad	CQ8H	2
ingenuo	CQ89	2
ingerir	CQ9z	n
ingestión	CQ+a	z
inglaterra	CQ/N	2
ingle	CRAD	n
inglesa	CRAq	x
inglesa	CRBb	7
inglés	CRBb	7
inglés	CRCW	u
inglés	CRDE	1
ingrata	CREt	BA
ingrata	CRFt	/
ingratitud	CRD5	0
ingrato	CREt	BA
ingrato	CRFt	/
ingrediente	CRGs	9
ingrediente	CRHp	3
ingresar	CRJd	3
ingresar	CRLf	7
ingresar	CRMa	q
ingresar dinero	CRIg	9
ingresar un cheque	CRKU	BL
ingreso	CRNE	u
ingreso	CRNy	v
ingreso	CROh	w
ingreso	CRP9	1
ingreso	CRPR	s
inhabitable	CRQy	x
inhabitada	CRRj	BL
inhabitado	CRRj	BL
inhalador	CRSu	z
inhalar	CRUq	l
inhalar algo	CRTh	BJ
inherente	CRVP	8
inhibición	CRWL	5
inhibición	CRX4	4
inhibición	CRXE	0
inhibir	CRYw	i
inhibir	CRZS	2
inhumana	CRbK	BQ
inhumano	CRbK	BQ
inhóspita	CRaI	BC
inhóspito	CRaI	BC
iniciación	CRca	5
iniciación	CRdT	4
inicial	CReL	BD
inicialmente	CRfO	x
iniciar	CRf/	l
iniciar	CRgk	n
iniciar	CRh2	0
iniciar	CRhL	r
iniciativa	CRiq	BM
inicio	CRj2	BM
inigualable	CRlC	2
inimaginable	CRl4	3
injerencia	CRmv	6
injerir	CRnp	o
injertar	CRo6	3
injertar	CRoR	p
injertar	CRpx	v
injerto	CRqg	x
injusta	CRsN	7
injusticia	CRrR	8
injusto	CRsN	7
inmaculada	CRtI	6
inmaculada	CRuC	BM
inmaculado	CRuC	BM
inmadura	CRwB	BC
inmadurez	CRvO	z
inmaduro	CRwB	BC
inmaterial	CRxD	v
inmediata	CR0c	BG
inmediata	CR1i	BQ
inmediatamente	CRxy	Bu
inmediatez	CRzg	8
inmediato	CR0c	BG
inmediato	CR1i	BQ
inmensa	CR3u	BK
inmensa	CR44	4
inmensidad	CR2y	8
inmenso	CR3u	BK
inmenso	CR44	4
inmersa	CR6l	BR
inmersa	CR72	7
inmersión	CR5w	1
inmerso	CR6l	BR
inmerso	CR72	7
inmigración	CR8x	BW
inmigrante	CR+H	BU
inmigrar	CR/b	q
inmoderada	CSAF	BP
inmoderado	CSAF	BP
inmoral	CSBU	p
inmoralidad	CSB9	BU
inmortal	CSDR	r
inmortalidad	CSD8	BC
inmortalizar	CSE+	z
inmovilidad	CSGm	BD
inmovilizar	CSHp	y
inmovilizar	CSIb	w
inmovilizar	CSJL	3
inmovilizar	CSKC	y
inmueble	CSK0	v
inmunda	CSLj	5
inmundo	CSLj	5
inmunidad	CSMc	0
inmunizar	CSNQ	t
inmóvil	CSFx	1
innata	CSN9	1
innato	CSN9	1
innatural	CSOy	u
innecesaria	CSPg	BQ
innecesario	CSPg	BQ
innovación	CSQw	BO
innovación	CSR+	1
innovador	CSSz	BN
innovadora	CSSz	BN
innumerable	CSUA	x
innumerable	CSUx	w
inocencia	CSVh	0
inocente	CSWV	z
inocente	CSXI	r
inocua	CSXz	4
inocuo	CSXz	4
inodora	CSYr	BB
inodoro	CSYr	BB
inodoro	CSZs	6
inofensiva	CSam	Bd
inofensiva	CScD	BO
inofensivo	CSam	Bd
inofensivo	CScD	BO
inoficiosa	CSdR	BJ
inoficioso	CSdR	BJ
inolvidable	CSea	1
inoportuna	CSfP	Bb
inoportuno	CSfP	Bb
inoxidable	CSgq	u
inquieta	CSiw	5
inquieta	CSjp	5
inquieta	CSki	BB
inquietar	CSiG	q
inquietarse	CShY	u
inquieto	CSiw	5
inquieto	CSjp	5
inquieto	CSki	BB
inquietud	CSlj	x
inquietud	CSmU	0
inquietud	CSnI	u
inquilino	CSn2	u
inquisición	CSok	5
insaciable	CSpd	y
insana	CSqP	0
insana	CSrD	2
insano	CSqP	0
insano	CSrD	2
insatisfacción	CSr5	BG
insatisfactoria	CSs/	Bo
insatisfactorio	CSs/	Bo
insatisfecha	CSun	BU
insatisfecha	CSv7	BV
insatisfecho	CSun	BU
insatisfecho	CSv7	BV
inscribir	CSx6	u
inscribir	CSxQ	q
inscribir	CSyo	r
inscripción	CS0M	9
inscripción	CS1J	BR
inscripción	CSzT	5
insecticida	CS2a	Bh
insecto	CS6U	p
insectívora	CS37	Ba
insectívoro	CS37	Ba
insectívoro	CS5V	/
insegura	CS77	BE
inseguridad	CS69	+
inseguro	CS77	BE
inseminación	CS8/	+
inseminar	CS99	q
insensata	CS+n	BF
insensato	CS+n	BF
insensibilidad	CS/s	BH
insensibilidad	CTAz	BI
insensible	CTB7	/
insensible	CTC6	x
inseparable	CTDr	1
insertar	CTEg	o
insertar	CTFI	p
inservible	CTFx	7
inservible	CTGs	x
insignia	CTHd	BF
insignificancia	CTIi	BE
insignificancia	CTJm	Bl
insignificante	CTLL	1
insignificante	CTMA	BJ
insinuar	CTNJ	6
insistencia	CTS9	3
insistencia	CTSA	9
insistente	CTT0	BD
insistir	CTWb	m
insistir	CTXB	4
insistir en	CTU3	y
insistir en	CTVp	y
insociable	CTX5	v
insolación	CTYo	/
insolación	CTZn	4
insolencia	CTaf	2
insolencia	CTbV	9
insolente	CTc5	u
insolente	CTcS	n
insoluble	CThD	s
insolvencia	CThv	Bb
insolvente	CTjK	BF
insomne	CTkP	k
insomnio	CTkz	0
insonora	CTln	BB
insonoro	CTln	BB
insoportable	CTmo	2
insostenible	CTne	x
inspeccionar	CToP	y
inspeccionar	CTpB	y
inspeccionar	CTpz	z
inspección	CTqm	5
inspección	CTrf	3
inspección	CTsW	2
inspección	CTtM	1
inspección	CTuB	0
inspector	CTu1	y
inspector	CTvn	z
inspector	CTwa	1
inspector	CTxP	x
inspector	CTyA	z
inspiración	CTyz	5
inspiración	CTzs	BS
inspirada	CT0+	BZ
inspirado	CT0+	BZ
inspirar	CT2X	j
inspirar	CT3w	n
inspirar	CT4X	4
inspirarse	CT26	2
instalación	CT5P	1
instalación	CT6E	Bl
instalar	CT8c	o
instalar	CT9E	BH
instalarse	CT7p	z
instancia	CT+L	BB
instancia	CT/M	v
instante	CUCs	v
instantánea	CT/7	BO
instantánea	CUBJ	Bj
instantáneo	CT/7	BO
instantáneo	CUBJ	Bj
instintiva	CUDb	BM
instintivo	CUDb	BM
instinto	CUEn	t
institucional	CUFU	6
institución	CUGO	6
institución	CUHI	6
instituir	CUIC	p
instituir	CUIr	o
instituto	CUJT	BW
instituto	CUKp	x
institutriz	CULa	5
instrucción	CUMT	5
instrucción	CUNM	5
instrucción	CUOF	BC
instrucción	CUPH	8
instructiva	CUQD	BX
instructiva	CURa	BR
instructivo	CUQD	BX
instructivo	CURa	BR
instructor	CUSr	BK
instruida	CUT1	BI
instruida	CUU9	Ba
instruido	CUT1	BI
instruido	CUU9	Ba
instruir	CUW+	n
instruir	CUWX	n
instruir	CUXl	o
instruir	CUYN	BD
instrumental	CUZQ	0
instrumental	CUaE	2
instrumento	CUa6	1
instrumento	CUbv	+
instrumento	CUct	3
insuficiencia	CUe8	BA
insuficiencia	CUf8	BE
insuficiencia cardíaca	CUdk	BY
insuficiente	CUhA	z
insufrible	CUhz	y
insular	CUil	k
insulina	CUjJ	u
insultante	CUj3	u
insultar	CUkl	o
insulto	CUlN	u
insuperable	CUl7	2
insurgente	CUmx	y
insurrecta	CUnj	BR
insurrecto	CUnj	BR
insípida	CTO/	BA
insípida	CTOD	8
insípida	CTP/	BE
insípida	CTRD	9
insípido	CTO/	BA
insípido	CTOD	8
insípido	CTP/	BE
insípido	CTRD	9
insólita	CTdn	BB
insólita	CTeo	BA
insólita	CTfo	Bb
insólito	CTdn	BB
insólito	CTeo	BA
insólito	CTfo	Bb
intachable	CUo0	t
intacta	CUph	Ba
intacto	CUph	Ba
integración	CUsa	B9
integración europea	CUq7	Bf
integral	CUuX	BI
integral	CUvf	q
integrante	CUwJ	BL
integrar	CUyI	BS
integrar	CUza	Bj
integrarse	CUxU	0
integridad	CU09	Bq
integridad	CU2n	BY
integrismo	CU3/	9
intelecto	CU81	BF
intelectual	CU96	4
intelectual	CVA+	6
intelectualidad	CU+y	BD
intelectualidad	CU/1	BJ
intelectualmente	CVB4	BY
inteligencia	CVE0	BS
inteligencia	CVGG	5
inteligencia artificial	CVDQ	Bk
inteligente	CVG/	BI
inteligibilidad	CVIH	BM
inteligible	CVJT	z
intencionada	CVKG	BX
intencionado	CVKG	BX
intencional	CVLd	x
intención	CVMO	BJ
intención	CVNX	y
intendencia	CVOJ	5
intensa	CVUm	BQ
intensidad	CVPC	BM
intensificar	CVQO	BH
intensiva	CVRV	BG
intensiva	CVSb	BH
intensiva	CVTi	BE
intensivo	CVRV	BG
intensivo	CVSb	BH
intensivo	CVTi	BE
intenso	CVUm	BQ
intentar	CVWz	r
intentar	CVXe	n
intentar inf	CVV2	9
intento	CVYF	r
intento	CVYw	r
interaccionar	CVZb	BM
interacción	CVan	BX
interactiva	CVdF	BS
interactiva	CVeX	BW
interactividad	CVb+	BH
interactivo	CVdF	BS
interactivo	CVeX	BW
intercambiable	CVft	5
intercambiar	CVgm	y
intercambio	CVhY	3
interceder	CViP	x
interceptar	CVj/	BE
interceptar	CVjA	/
intercontinental	CVlD	BD
interesada	CVmG	BN
interesada	CVnT	BQ
interesada	CVoj	BT
interesado	CVmG	BN
interesado	CVnT	BQ
interesado	CVoj	BT
interesante	CVp2	x
interesar	CVrq	u
