Hakusana	Homonymia	Sanaluokka	Taivutustiedot
planktonlevä		substantiivi	
planssi		substantiivi	5
plantaarifaskiitti		substantiivi	
plantaasi		substantiivi	6
planttu		substantiivi	1*C
plarata		verbi	73
plari		substantiivi	5
plasebo		substantiivi	2
plasebovaikutus		substantiivi	
plaseerata		verbi	73
plaseeraus		substantiivi	39
plasma		substantiivi	9
plasmafysiikka		substantiivi	
plasmasolu		substantiivi	
plasmasuihkuhitsaus		substantiivi	
plasmidi		substantiivi	5
plasmosyytti		substantiivi	5*C
plastidi		substantiivi	5
plastiikka		substantiivi	14*A
plastiikkakirurgi		substantiivi	
plastiikkakirurgia		substantiivi	
plastinen		adjektiivi	38
plastisesti		adverbi	99
plastisuus		substantiivi	40
plataani		substantiivi	6
platina		substantiivi	12
platinakettu		substantiivi	
platinakoru		substantiivi	
platinalevy		substantiivi	
platinanvaalea		adjektiivi	
platinoida		verbi	62
platinointi		substantiivi	5*J
platonilainen		adjektiivi	38
platonilaisuus		substantiivi	40
platoninen		adjektiivi	38
platonismi		substantiivi	5
platy		substantiivi	1
playback		substantiivi	5
playboy		substantiivi	21
playoff		substantiivi	5
playoff-ottelu		substantiivi	
playoff-peli		substantiivi	
plebeiji		substantiivi	5
pleenumi		substantiivi	6
pleenumiesitelmä		substantiivi	
pleissata		verbi	73
pleissi		substantiivi	5
pleksilasi		substantiivi	
plektra		substantiivi	9
plenaariesitelmä		substantiivi	
pleonasmi		substantiivi	5
pleonastinen		adjektiivi	38
pliis		interjektio	99
pliisu		adjektiivi	1
plikka		substantiivi	9*A
pliseerata		verbi	73
pliseeraus		substantiivi	39
plombi		substantiivi	5
plombittaa		verbi	53*C
plootu		substantiivi	1
plumpsahdus		substantiivi	39
plumpsahtaa		verbi	53*F
pluraali		substantiivi	5
pluralismi		substantiivi	5
pluralisti		substantiivi	5
pluralistinen		adjektiivi	38
plus		adverbi, prepositio, substantiivi	99
plusaste		substantiivi	
plusenergiatalo		substantiivi	
pluskoko		substantiivi	1*D
pluskokoinen		adjektiivi	
pluskvamperfekti		substantiivi	5
pluslasit		substantiivi	
plusmerkki		substantiivi	
plusmerkkinen		adjektiivi	
plusnapa		substantiivi	
pluspiste		substantiivi	
pluspuoli		substantiivi	
pluspuu		substantiivi	
plussa		substantiivi	10
plussakoko		substantiivi	1*D
plussata		verbi	73
plutonium		substantiivi	5
plutoona		substantiivi	10
plyymi		substantiivi	5
plyysi		substantiivi	5
plyysihuonekalu		substantiivi	
plyysi-istuin		substantiivi	
plyysikangas		substantiivi	41*G
plyysimatto		substantiivi	
plyysisohva		substantiivi	
pläjäys		substantiivi	39
pläjäyttää		verbi	53*C
pläkki		substantiivi	5*A
pläntti		substantiivi	5*C
pläsi		substantiivi	5
plääh		interjektio	99
plörinä		substantiivi	12
plörö		substantiivi	1
PMS		substantiivi	10
PMS-oire		substantiivi	
pneumaattinen		adjektiivi	38
pneumaattisesti		adverbi	99
pneumatiikka		substantiivi	9*A
pneumonia		substantiivi	12
podcast		substantiivi	5
podcast-lähetys		substantiivi	
podcast-tallenne		substantiivi	
podsoli		substantiivi	5
poeetta		substantiivi	9*C
poeettinen		adjektiivi	38
poetiikka		substantiivi	9*A
pogromi		substantiivi	6
pohatta		substantiivi	14*C
pohdin		substantiivi	33*F
pohdinta		substantiivi	9*J
pohdiskella		verbi	67
pohdiskelu		substantiivi	2
pohja		substantiivi	10
pohja-aika		substantiivi	9*D
pohja-ala		substantiivi	
pohjaeläin		substantiivi	
pohjahiekka		substantiivi	
pohjahiiva		substantiivi	
pohjahiivaolut		substantiivi	
pohjahinta		substantiivi	
‑pohjainen		adjektiivi	38
‑pohjaisesti		adverbi	99
‑pohjaisuus		substantiivi	40
pohjajää		substantiivi	
pohjakala		substantiivi	
pohjakasvillisuus		substantiivi	
pohjakerros		substantiivi	
pohjakosketus		substantiivi	
pohjakoulutus		substantiivi	
pohjakudos		substantiivi	
pohjakunto		substantiivi	
pohjalainen		adjektiivi, substantiivi	38
pohjalaisittain		adverbi	99
pohjalaismurre		substantiivi	
pohjalaistalo		substantiivi	
pohjalasti		substantiivi	
pohjalauta		substantiivi	
pohjalevy		substantiivi	
pohjalieju		substantiivi	
pohjallinen		substantiivi, adjektiivi	38
pohjalukema		substantiivi	
pohjamaa		substantiivi	
pohjamaalata		verbi	73
pohjamaalaus		substantiivi	39
pohjamaali		substantiivi	5
pohjamuta		substantiivi	
pohjanlepakko		substantiivi	
pohjanmaa		substantiivi	
pohjanmaalainen		adjektiivi, substantiivi	
pohjanoteeraus		substantiivi	
pohjantervajaiset		substantiivi	
pohjanuotta		substantiivi	
pohjaompelu		substantiivi	
pohjaonginta		substantiivi	
pohjaonki		substantiivi	
pohjapaine		substantiivi	
pohjapalkka		substantiivi	
pohjapaperi		substantiivi	
pohjapiimä		substantiivi	
pohjapiirros		substantiivi	
pohjapiirustus		substantiivi	
pohjapinta-ala		substantiivi	
pohjarakenne		substantiivi	
pohjaratkaisu		substantiivi	
pohjasakka		substantiivi	
pohjasävel		substantiivi	
pohjasävy		substantiivi	
pohjata		verbi	73
pohjatiedot		substantiivi	
pohjaton		adjektiivi	34*C
pohjatroolari		substantiivi	
pohjatroolaus		substantiivi	
pohjattomasti		adverbi	99
pohjatuuli		substantiivi	
pohjaus		substantiivi	39
pohjauttaa		verbi	53*C
pohjautua		verbi	52*F
pohjaverkko		substantiivi	
pohjavesi		substantiivi	
pohjavilla		substantiivi	9
pohjavire		substantiivi	
pohjavirta		substantiivi	
pohjavirtaus		substantiivi	
pohjavoide		substantiivi	
pohjaväri		substantiivi	
pohje		substantiivi	48*L
pohjeapu		substantiivi	
pohjelihas		substantiivi	
pohjemmaksi		adverbi	99
pohjemmalla		adverbi	99
pohjemmalle		adverbi	99
pohjemmalta		adverbi	99
pohjempaa		adverbi	99
pohjempana		adverbi	99
pohjepituinen		adjektiivi	
pohjimmainen		adjektiivi	38
pohjimmaksi		adverbi	99
pohjimmalla		adverbi	99
pohjimmalle		adverbi	99
pohjimmalta		adverbi	99
pohjimmaltaan		adverbi	99
pohjimmiltaan		adverbi	99
pohjimpaa		adverbi	99
pohjimpana		adverbi	99
pohjittaa		verbi	53*C
pohjoinen		substantiivi, adjektiivi	38
pohjoisafrikkalainen		adjektiivi, substantiivi	
pohjoisamerikkalainen		adjektiivi, substantiivi	
pohjoisemmaksi		adverbi	99
pohjoisemmas		adverbi	99
pohjoisempaa		adverbi	99
pohjoisempana		adverbi	99
pohjoisenpuoleinen		adjektiivi	
pohjoiseurooppalainen		adjektiivi, substantiivi	
pohjoiskalotti		substantiivi	
pohjoiskarjalainen		adjektiivi, substantiivi	
pohjoiskoillinen		substantiivi	
pohjoiskärki		substantiivi	
pohjoisluode		substantiivi	
pohjoisluoteinen		adjektiivi	
pohjoismaa		substantiivi	
pohjoismaalainen		substantiivi	
pohjoismaat		substantiivi	
pohjoismainen		adjektiivi	
pohjoisnapa		substantiivi	
pohjoisosa		substantiivi	
pohjoispohjalainen		adjektiivi, substantiivi	
pohjoispuoli		substantiivi	
pohjoispuolinen		adjektiivi	
pohjoisraja		substantiivi	9
pohjoisrannikko		substantiivi	
pohjoisreimari		substantiivi	
pohjoisrinne		substantiivi	
pohjoissaame		substantiivi	
pohjoissaamelainen		substantiivi, adjektiivi	
pohjoissavolainen		adjektiivi, substantiivi	
pohjoissuomalainen		adjektiivi, substantiivi	
pohjoissuomenkarja		substantiivi	
pohjoistuuli		substantiivi	
pohjoisvaltalainen		adjektiivi, substantiivi	38
pohjoisvaltio		substantiivi	
pohjoisviitta		substantiivi	9*C
pohjola		substantiivi	12
pohjukaissuoli		substantiivi	
pohjukaissuolihaava		substantiivi	9
pohjukka		substantiivi	14*A
pohjus		substantiivi	39
pohjushedelmä		substantiivi	
pohjusmarja		substantiivi	
pohjustaa		verbi	53
pohjuste		substantiivi	48
pohjustus		substantiivi	39
pohkeenväistö		substantiivi	
‑pohkeinen		adjektiivi	38
pohmelo		substantiivi	2
pohtia		verbi	61*F
poies		adverbi	99
poi’inta		substantiivi	9*J
poi’ittaa		verbi	53*C
poi’itus		substantiivi	39
poiju		substantiivi	1
poijuttaa		verbi	53*C
poijutus		substantiivi	39
poika		substantiivi	10*D
poikaikä		substantiivi	
poikajoukko		substantiivi	
poikakalenteri		substantiivi	
poikakaveri		substantiivi	
poikakerho		substantiivi	
poikakerholainen		substantiivi	
poikakirja		substantiivi	
poikakissa		substantiivi	
poikakoira		substantiivi	
poikakoti		substantiivi	
poikakoulu		substantiivi	
poikakuoro		substantiivi	
poikalapsi		substantiivi	
poikaluokka		substantiivi	10*A
poikamainen		adjektiivi	38
poikamaisesti		adverbi	99
poikamaisuus		substantiivi	40
poikamies		substantiivi	
poikamiesasunto		substantiivi	
poikamieselämä		substantiivi	
poikamiestyttö		substantiivi	
poikanen		substantiivi	38
poikanukke		substantiivi	
poikanulikka		substantiivi	
poikaoksa		substantiivi	
poikaoppilas		substantiivi	
poikaparka		substantiivi	9*D
poikapuoli		substantiivi	
poikapuolinen		adjektiivi	
poikarakkaus		substantiivi	
poikaraukka		substantiivi	
poikasakki		substantiivi	
poikaseura		substantiivi	
poikaskuolleisuus		substantiivi	
poikatukka		substantiivi	
poikatyttö		substantiivi	
poikavauva		substantiivi	
poikaviikari		substantiivi	
poikavuosi		substantiivi	
poikaystävä		substantiivi	
poikaääni		substantiivi	
poiketa		verbi	74*A
poikia		verbi	61*D
poikimahalvaus		substantiivi	
poikittain		adverbi	99
poikittainen		adjektiivi	38
poikittaisharju		substantiivi	
poikittaisliikenne		substantiivi	
poikittaisraita		substantiivi	9*F
poikittaissuunta		substantiivi	
poikittaissyöttö		substantiivi	
poikittaistutkimus		substantiivi	
poikkaista		verbi	66
poikkeama		substantiivi	10
poikkeava		adjektiivi	10
poikkeavasti		adverbi	99
poikkeavuus		substantiivi	40
poikkeuksellinen		adjektiivi	38
poikkeuksellisesti		adverbi	99
poikkeuksellisuus		substantiivi	40
poikkeuma		substantiivi	10
poikkeus		substantiivi	39
poikkeus‑			
poikkeusasema		substantiivi	
poikkeusihminen		substantiivi	
poikkeusilmiö		substantiivi	
poikkeusjärjestely		substantiivi	
poikkeuslaki		substantiivi	5*D
poikkeuslupa		substantiivi	
poikkeusolot		substantiivi	
poikkeustapaus		substantiivi	
poikkeustila		substantiivi	
poikkeustoimi		substantiivi	
poikkeusyksilö		substantiivi	
poikkeuttaa		verbi	53*C
poikki		adverbi, postpositio, prepositio	99
poikkihirsi		substantiivi	
poikkihuilu		substantiivi	
poikkijuova		substantiivi	
poikkijuovainen		adjektiivi	
poikkikatu		substantiivi	
poikkikäytävä		substantiivi	
poikkilaiva		substantiivi	
poikkilakana		substantiivi	
poikkilankku		substantiivi	
poikkileikkaus		substantiivi	
poikkileikkauspinta		substantiivi	
poikkiliikenne		substantiivi	
poikkinainen		adjektiivi	38
poikkipiena		substantiivi	
poikkipolku		substantiivi	
poikkipuola		substantiivi	10
poikkipuolin		adverbi	99
poikkipuolinen		adjektiivi	
poikkipuu		substantiivi	
poikkipäin		adverbi	
poikkiraita		substantiivi	9*F
poikkiraitainen		adjektiivi	
poikkirata		substantiivi	
poikkisuunta		substantiivi	
poikkisyy		substantiivi	
poikkitaiteellinen		adjektiivi	
poikkitelainen		adjektiivi	38
poikkiteloin		adverbi	99
poikkitieteellinen		adjektiivi	
poikkiviiva		substantiivi	
poikue		substantiivi	48
poikuus		substantiivi	40
poikuusaika		substantiivi	9*D
poikuusaikainen		adjektiivi	
poimia		verbi	61
poimielma		substantiivi	10
poimija		substantiivi	12
poiminta		substantiivi	9*J
poiminto		substantiivi	1*J
poimiskella		verbi	67
poimu		substantiivi	1
poimuilla		verbi	67
poimuinen		adjektiivi	38
poimukas		adjektiivi	41*A
poimulanka		substantiivi	
poimulehti		substantiivi	
poimullinen		adjektiivi	38
poimuri		substantiivi	6
poimuttaa		verbi	53*C
poimuttua		verbi	52*C
poimutus		substantiivi	39
poimutuspisto		substantiivi	
poimuuntua		verbi	52*J
poimuvuori		substantiivi	26
poimuvuoristo		substantiivi	
pointillismi		substantiivi	5
pointillisti		substantiivi	5
pointillistinen		adjektiivi	38
pointsi		substantiivi	5
pointteri		substantiivi	6
pointti		substantiivi	5*C
pois		adverbi	99
poisjäänti		substantiivi	
poiskuljetus		substantiivi	
poislähtö		substantiivi	
poismennyt		adjektiivi, substantiivi	47
poismeno		substantiivi	
poisnukkunut		adjektiivi, substantiivi	47
poisoppiminen		substantiivi	38
poispano		substantiivi	
poispilattu		adjektiivi	1*C
poispäin		adverbi	
poispääsy		substantiivi	
poissa		adverbi	99
poissaoleva		adjektiivi	
poissaolo		substantiivi	
poissaoloaika		substantiivi	9*D
poissaolovihko		substantiivi	
poissulkea		verbi	
poistaa		verbi	53
poistattaa		verbi	53*C
poiste		substantiivi	48
poistin		substantiivi	33
poisto		substantiivi	1
poistoerä		substantiivi	
poistogeeninen		adjektiivi	38
poistoilma		substantiivi	
poistoilmaventtiili		substantiivi	
poistoputki		substantiivi	
poistotahti		substantiivi	
poistoventtiili		substantiivi	
poistovoima		substantiivi	
poistua		verbi	52
poistuma		substantiivi	10
poistumiskielto		substantiivi	
poistumiskäsky		substantiivi	
poistumislupa		substantiivi	
poistumisrangaistus		substantiivi	
poistumistie		substantiivi	
poitsu		substantiivi	1
pojannaskali		substantiivi	
pojannulikka		substantiivi	
pojanpoika		substantiivi	
pojanpojanpoika		substantiivi	
pojanpää		substantiivi	
pojantytär		substantiivi	
pojanvekara		substantiivi	
pojanvekkuli		substantiivi	
pojanviikari		substantiivi	
pojitella		verbi	67*C
poju		substantiivi	1
poka	1	substantiivi	10
poka	2	substantiivi	10
pokaali		substantiivi	6
pokasaha		substantiivi	
pokata	1	verbi	73*A
pokata	2	verbi	73
pokeri		substantiivi	6
pokerinaama		substantiivi	
pokerinaamainen		adjektiivi	
pokka		substantiivi	10*A
pokkailla		verbi	67
pokkari		substantiivi	6
pokkuroida		verbi	68
pokkurointi		substantiivi	5*J
poksahdus		substantiivi	39
poksahtaa		verbi	53*F
poksauttaa		verbi	53*C
poksi		substantiivi	5
pokstaavi		substantiivi	5
pola		substantiivi	10
polaari-ilma		substantiivi	
polaarinen		adjektiivi	38
polaarisuus		substantiivi	40
polaariyö		substantiivi	
polakka		substantiivi	14*A
polakoukku		substantiivi	
polanne		substantiivi	48*J
polanteinen		adjektiivi	38
polanteisuus		substantiivi	40
polarisaatio		substantiivi	3
polarisaatiosuodatin		substantiivi	
polarisoida		verbi	62
polarisoitua		verbi	52*F
polariteetti		substantiivi	5*C
polaroida		verbi	62
polaroitua		verbi	52*F
poleemikko		substantiivi	1*A
poleeminen		adjektiivi	38
poleemisesti		adverbi	99
poleemisuus		substantiivi	40
polemiikki		substantiivi	5*A
polemikoida		verbi	62
polemikointi		substantiivi	5*J
polemisoida		verbi	62
polemisointi		substantiivi	5*J
polenta		substantiivi	9
poletti		substantiivi	5*C
poli		substantiivi	5
poliisi		substantiivi	6
poliisiasema		substantiivi	
poliisiasia		substantiivi	
poliisiauto		substantiivi	
poliisihallinto		substantiivi	
poliisihenkilö		substantiivi	
poliisijärjestys		substantiivi	
poliisikamari		substantiivi	
poliisiketju		substantiivi	
poliisikoira		substantiivi	
poliisikoulutus		substantiivi	
poliisikunta		substantiivi	
poliisikuulustelu		substantiivi	
poliisilaitos		substantiivi	
poliisimerkki		substantiivi	
poliisimestari		substantiivi	
poliisimies		substantiivi	
poliisineuvos		substantiivi	
poliisipartio		substantiivi	
poliisipiiri		substantiivi	
poliisipäällikkö		substantiivi	
poliisisarja		substantiivi	
poliisitarkastaja		substantiivi	
poliisitiedotus		substantiivi	
poliisitoimi		substantiivi	
poliisitutkinta		substantiivi	
poliisivaltio		substantiivi	
poliisivalvonta		substantiivi	
poliisivankila		substantiivi	
poliisivartio		substantiivi	
poliisiviranomainen		substantiivi	
poliisivoima		substantiivi	
poliisiylijohtaja		substantiivi	
poliitikko		substantiivi	4*A
poliittinen		adjektiivi	38
poliittisesti		adverbi	99
poliittisluonteinen		adjektiivi	
poliittisluontoinen		adjektiivi	
poliittistaa		verbi	53
poliittistua		verbi	52
poliittisuus		substantiivi	40
polikliininen		adjektiivi	38
polikliinisesti		adverbi	99
poliklinikka		substantiivi	14*A
polio		substantiivi	3
poliorokote		substantiivi	
poliorokotus		substantiivi	
poliovirus		substantiivi	
politbyroo		substantiivi	20
politiarikos		substantiivi	
politiikantekijä		substantiivi	
politiikanteko		substantiivi	
politiikka		substantiivi	9*A
politikoida		verbi	62
politikointi		substantiivi	5*J
politisoida		verbi	62
politisointi		substantiivi	5*J
politisoitua		verbi	52*F
politologi		substantiivi	5
politologia		substantiivi	12
politrukki		substantiivi	5*A
poljennollinen		adjektiivi	38
poljennollisesti		adverbi	99
poljenta		substantiivi	9*J
poljento		substantiivi	1*J
poljin		substantiivi	33*L
poljinnopeus		substantiivi	
polkaista		verbi	66
polkaisu		substantiivi	2
polkea		verbi	58*L
polkeutua		verbi	52*F
polkka		substantiivi	10*A
polkkatukka		substantiivi	
polkkatukkainen		adjektiivi	
polku		substantiivi	1*D
polkuantura		substantiivi	
polkuauto		substantiivi	
polkuhinta		substantiivi	
polkujuoksu		substantiivi	
polkumiina		substantiivi	
polkumyynti		substantiivi	
polkunen		substantiivi	38
polkupyörä		substantiivi	
polkupyöräilijä		substantiivi	
polkupyöräily		substantiivi	
polkupyöräjoukot		substantiivi	
polkupyöräkorjaamo		substantiivi	
polkupyörälähetti		substantiivi	
polkupyöränrengas		substantiivi	
polkupyöräpoliisi		substantiivi	
polkupyörätaksi		substantiivi	
polkusin		substantiivi	33
polkuvene		substantiivi	
polla		substantiivi	10
pollari	1	substantiivi	6
pollari	2	substantiivi	6
polle		substantiivi	8
pollea		adjektiivi	15
polo		adjektiivi	1
poloinen		adjektiivi, substantiivi	38
poloneesi		substantiivi	5
polonium		substantiivi	5
polottaa		verbi	53*C
polotus		substantiivi	39
polska		substantiivi	10
polskahdus		substantiivi	39
polskahtaa		verbi	53*F
polskaus		substantiivi	39
polskauttaa		verbi	53*C
polski		substantiivi	5
polskia		verbi	61
polskuttaa		verbi	53*C
polstari		substantiivi	6
polsteri		substantiivi	6
poltattaa		verbi	53*C
polte		substantiivi	48*C
poltella		verbi	67*C
polterabend		substantiivi	5
poltergeist		substantiivi	5
poltergeist-ilmiö		substantiivi	
poltin		substantiivi	33*C
poltinkarva		substantiivi	
poltinmerkki		substantiivi	
poltinrauta		substantiivi	
polttaa		verbi	53*C
polttaja		substantiivi	10
polttama		substantiivi	10
polttarit		substantiivi	6
polttava		adjektiivi	10
polttavanmakuinen		adjektiivi	
polttiainen		substantiivi	38
polttiaiseläin		substantiivi	
polttimo		substantiivi	2
poltto		substantiivi	1*C
polttoaine		substantiivi	
polttoaineenkulutus		substantiivi	
polttoainemittari		substantiivi	
polttoainesäiliö		substantiivi	
polttoainevero		substantiivi	
polttohaudata		verbi	
polttohautaus		substantiivi	
polttoitsemurha		substantiivi	
polttojäte		substantiivi	
polttokaasu		substantiivi	
polttokenno		substantiivi	
polttolakata		verbi	73*A
polttolakka		substantiivi	9*A
polttolakkaus		substantiivi	
polttolasi		substantiivi	
polttoleikata		verbi	
polttoleikkaus		substantiivi	
polttolinja		substantiivi	
polttomaalata		verbi	73
polttomaalaus		substantiivi	39
polttomaali		substantiivi	5
polttomerkitä		verbi	
polttomerkki		substantiivi	
polttomoottori		substantiivi	
polttoneste		substantiivi	
polttopallo		substantiivi	
polttopiste		substantiivi	
polttopullo		substantiivi	
polttopuu		substantiivi	
polttorauta		substantiivi	
polttorovio		substantiivi	
polttotaisteluaine		substantiivi	
polttoturve		substantiivi	
polttouhri		substantiivi	
polttouuni		substantiivi	
polttoväli		substantiivi	
polttoöljy		substantiivi	
polvarit		substantiivi	6
polveilla		verbi	67
polveke		substantiivi	48*A
polvekepisto		substantiivi	
polvenkorkuinen		adjektiivi	
polvenlämmitin		substantiivi	
polveutua		verbi	52*F
polveutumisoppi		substantiivi	
polvi		substantiivi	7
polviasento		substantiivi	
polviheijaste		substantiivi	
polvihousut		substantiivi	
polvi-istunta		substantiivi	
polvijänne		substantiivi	
polvijänneheijaste		substantiivi	
polvillaan		adverbi	99
polvilleen		adverbi	99
polviltaan		adverbi	99
polvilumpio		substantiivi	
‑polvinen		adjektiivi	38
polvinivel		substantiivi	
polvipituinen		adjektiivi	
polvipituus		substantiivi	
polvipussi		substantiivi	
polvirefleksi		substantiivi	
polviriipunta		substantiivi	
polvirukous		substantiivi	
polviseisonta		substantiivi	
polvistaa		verbi	53
polvistua		verbi	52
polvisukka		substantiivi	
polvisuojus		substantiivi	
polvitaive		substantiivi	
polvitila		substantiivi	
polvivamma		substantiivi	
polyamidi		substantiivi	5
polyamidikuitu		substantiivi	
polyamoria		substantiivi	12
polyamorinen		adjektiivi	38
polyedri		substantiivi	5
polyesteri		substantiivi	6
polyesterikuitu		substantiivi	
polyesterimuovi		substantiivi	
polyeteeni		substantiivi	5
polyetyleenitereftalaatti		substantiivi	5*C
polyfonia		substantiivi	12
polyfoninen		adjektiivi	38
polygaaminen		adjektiivi	38
polygamia		substantiivi	12
polyglotti		substantiivi	5*C
polygoni		substantiivi	5
polymeeri		substantiivi	5
polymeria		substantiivi	12
polymerisaatio		substantiivi	3
polymerisoida		verbi	62
polymerisoitua		verbi	52*F
polymeroida		verbi	62
polymeroitua		verbi	52*F
polymorfia		substantiivi	12
polymorfinen		adjektiivi	38
polymyalgia		substantiivi	
polynesialainen		adjektiivi, substantiivi	38
polynomi		substantiivi	5
polypropeeni		substantiivi	5
polystyreeni		substantiivi	5
polyteismi		substantiivi	5
polyteisti		substantiivi	5
polyteistinen		adjektiivi	38
polytekninen		adjektiivi	
polytetrafluorieteeni		substantiivi	
polyuretaani		substantiivi	5
polyyppi		substantiivi	5*B
pomada		substantiivi	10
pomelo		substantiivi	2
pomeranssi		substantiivi	5
pomeranssinkuori		substantiivi	26
pomeranssipuu		substantiivi	
pomeranssiviina		substantiivi	
pomiloida		verbi	68
pomilointi		substantiivi	5*J
pommi	1	substantiivi	5
pommi	2	substantiivi	99
pommiattentaatti		substantiivi	
pommihyökkäys		substantiivi	
pommi-isku		substantiivi	
pommikoira		substantiivi	
pommikone		substantiivi	
pomminvarma		adjektiivi	
pomminvarmasti		adverbi	
pommiryhmä		substantiivi	
pommiräjähdys		substantiivi	
pommisuoja		substantiivi	10
pommitella		verbi	67*C
pommittaa		verbi	53*C
pommittaja		substantiivi	10
pommitus		substantiivi	39
pommituskone		substantiivi	
pommituslento		substantiivi	1*J
pomo		substantiivi	1
pomoilla		verbi	67
pomoilu		substantiivi	2
pomomies		substantiivi	
pomottaa		verbi	53*C
pompahdella		verbi	67*F
pompahdus		substantiivi	39
pompahtaa		verbi	53*F
pompata		verbi	73*B
pompotella		verbi	67*C
pompottaa		verbi	53*C
pompotus		substantiivi	39
pomppa		substantiivi	10*B
pomppaus		substantiivi	39
pomppia		verbi	61*B
pomppoilla		verbi	67
pomppu		substantiivi	1*B
pomppulinna		substantiivi	
pomppulyönti		substantiivi	
pompula		substantiivi	12
pomputella		verbi	53*C
pomputtaa		verbi	53*C
pompöösi		adjektiivi	5
pomsi		substantiivi	5
pomsisidos		substantiivi	
poncho		substantiivi	1
pondi		substantiivi	5
poni		substantiivi	5
poninhäntä		substantiivi	
poninhäntäkampaus		substantiivi	
ponkaista		verbi	66
ponkaisu		substantiivi	2
ponnahdus		substantiivi	39
ponnahduslauta		substantiivi	
ponnahduslautahyppy		substantiivi	
ponnahduttaa		verbi	53*C
ponnahtaa		verbi	53*F
ponnari		substantiivi	6
ponnauttaa		verbi	53*C
ponneaine		substantiivi	
ponnekaasu		substantiivi	
ponnekas		adjektiivi	41*A
ponnekkaasti		adverbi	99
ponnekkuus		substantiivi	40
ponneton		adjektiivi	34*C
ponnin		substantiivi	33*J
ponnistaa		verbi	53
ponnistautua		verbi	52*F
ponnistella		verbi	67
ponnistelu		substantiivi	2
ponnistus		substantiivi	39
ponnistuslankku		substantiivi	
ponnistuslauta		substantiivi	
ponnistusvaihe		substantiivi	
ponnistusvoima		substantiivi	
ponomari		substantiivi	5
ponsi		substantiivi	28*J
ponsiehdotus		substantiivi	
ponsilause		substantiivi	
ponsilauselma		substantiivi	
ponssari		substantiivi	6
pontata		verbi	73*C
ponteva		adjektiivi	10
pontevasti		adverbi	99
pontevuus		substantiivi	40
pontikankeitto		substantiivi	
pontikka		substantiivi	14*A
pontikkapullo		substantiivi	
pontikkatehdas		substantiivi	
ponttaus		substantiivi	39
pontti		substantiivi	5*C
ponttilauta		substantiivi	
ponttiliitos		substantiivi	
ponttoni		substantiivi	6
ponttonisilta		substantiivi	
pooki		substantiivi	5
pooli	1	substantiivi	5
pooli	2	substantiivi	5
poolo		substantiivi	1
poolokaulus		substantiivi	
poolopaita		substantiivi	
poolopusero		substantiivi	
pop		adverbi, substantiivi	5*(B)
popata	1	verbi	73*B
popata	2	verbi	73*B
popcorn		substantiivi	5
popidoli		substantiivi	
popkulttuuri		substantiivi	
poplari		substantiivi	6
poplevy		substantiivi	
popliini		substantiivi	6
popliinitakki		substantiivi	
poplore		substantiivi	8
popmusiikki		substantiivi	
popmuusikko		substantiivi	
popo		substantiivi	1
poppa		substantiivi, adjektiivi	10*B
poppakonsti		substantiivi	
poppamies		substantiivi	
poppana		substantiivi	11
poppari	1	substantiivi	6
poppari	2	substantiivi	6
poppeli		substantiivi	6
poppelikuja		substantiivi	
poppi		substantiivi	5*B
poppoo		substantiivi	17
popsahtaa		verbi	53*F
popsia		verbi	61
poptaide		substantiivi	
poptaiteilija		substantiivi	
popula		substantiivi	12
populaari		adjektiivi	5
populaarikirjallisuus		substantiivi	
populaarikulttuuri		substantiivi	
populaarimusiikki		substantiivi	
populaaristaa		verbi	53
populaarius		substantiivi	40
populaatio		substantiivi	3
popularisoida		verbi	62
popularisointi		substantiivi	5*J
populariteetti		substantiivi	5*C
populismi		substantiivi	5
populisti		substantiivi	5
populistinen		adjektiivi	38
populääri		adjektiivi	5
pop-up-ravintola		substantiivi	
popyhtye		substantiivi	
pora		substantiivi	10
poraaja		substantiivi	10
porakaivo		substantiivi	
porakone		substantiivi	
poranterä		substantiivi	
poranvarsi		substantiivi	
porapistiäinen		substantiivi	
porari		substantiivi	6
porata	1	verbi	73
porata	2	verbi	73
poraus		substantiivi	39
porausaukko		substantiivi	
porauslautta		substantiivi	
porausreikä		substantiivi	
poraustorni		substantiivi	
porautua		verbi	52*F
pore		substantiivi	48
poreallas		substantiivi	
poreamme		substantiivi	
poreilla		verbi	67
poreilu		substantiivi	2
poreinen		adjektiivi	38
porekylpy		substantiivi	
poretabletti		substantiivi	
poretin		substantiivi	33*C
porevesi		substantiivi	
porfiini		substantiivi	5
porfyriini		substantiivi	5
porfyyri		substantiivi	5
porfyyrinen		adjektiivi	38
porhaltaa		verbi	54*I
porho		substantiivi	1
porilainen		adjektiivi, substantiivi	38
porina		substantiivi	13
porinaryhmä		substantiivi	
porista		verbi	66
porkka		substantiivi	10*A
porkkana		substantiivi	12
porkkanakakku		substantiivi	
porkkanakemppi		substantiivi	
porkkanakärpänen		substantiivi	
porkkanalaatikko		substantiivi	
porkkanamaa		substantiivi	
porkkanamuhennos		substantiivi	
porkkananpunainen		adjektiivi	
porkkanaraaste		substantiivi	
porkkanasosekeitto		substantiivi	
pormestari		substantiivi	6
pornahtava		adjektiivi	10
porno		substantiivi	1
porno‑			
pornoelokuva		substantiivi	
pornofilmi		substantiivi	
pornografia		substantiivi	12
pornografinen		adjektiivi	38
pornoistua		verbi	52
pornokauppa		substantiivi	
pornokirja		substantiivi	
pornolehti		substantiivi	
pornoluola		substantiivi	
